                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2408,                 1.6756,                 1.0671,                0.80282,                0.75592,                0.83475,                0.47848,                 1.0974,                 1.0939,                 1.0793,             0.00065728,             0.00065728,             0.00065728
                      2,                  1.153,                 0.8723,                  1.045,                 0.8772,                0.77337,                0.88334,                 0.4819,                 1.0624,                 1.3101,                 1.0564,              0.0013196,              0.0013196,              0.0013196
                      3,                 1.1179,                0.85575,                 1.0356,                0.85595,                0.76184,                0.74704,                0.43057,                  1.124,                 1.1346,                 1.0881,              0.0019775,              0.0019775,              0.0019775
                      4,                 1.1482,                0.84777,                 1.0557,                0.86869,                0.75672,                0.79022,                0.46511,                 1.0577,                 1.3325,                  1.064,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.0904,                0.79538,                 1.0314,                0.77488,                0.77849,                0.81373,                0.45585,                 1.2415,                 1.2656,                 1.1413,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.0927,                0.81582,                 1.0211,                0.89082,                0.78354,                 0.8307,                0.48151,                 1.0527,                 1.0169,                 1.0408,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.0798,                0.79126,                 1.0357,                0.89283,                0.77867,                0.90789,                0.54866,                0.97537,                0.86756,                 1.0261,               0.001967,               0.001967,               0.001967
                      8,                 1.0672,                0.76448,                 1.0283,                0.88389,                0.78361,                 0.8872,                0.52268,                 1.0131,                0.94586,                 1.0334,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.0347,                0.77904,                  1.009,                0.89075,                0.77465,                0.88952,                0.55202,                0.97958,                0.86666,                 1.0186,              0.0019538,              0.0019538,              0.0019538
                     10,                  1.036,                0.76361,                 1.0123,                0.88196,                0.77849,                0.89389,                0.54164,                0.92544,                0.85712,                0.99786,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.0172,                 0.7557,                 1.0057,                0.76751,                0.87499,                0.90594,                0.56009,                0.97353,                0.97999,                 1.0337,              0.0019406,              0.0019406,              0.0019406
                     12,                   1.02,                0.77833,                  1.007,                0.89297,                0.77986,                0.89547,                0.54366,                0.91505,                0.94457,                 1.0015,               0.001934,               0.001934,               0.001934
                     13,                0.99528,                0.74049,                0.99989,                0.88316,                0.77593,                0.89781,                0.58005,                0.90945,                0.88806,                0.99499,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.0029,                0.74206,                 1.0078,                0.88841,                0.77477,                0.89132,                0.55345,                0.92232,                0.86941,                0.98818,              0.0019208,              0.0019208,              0.0019208
                     15,                0.98701,                0.72172,                0.99988,                0.89078,                0.77337,                0.91069,                0.57018,                 0.8921,                0.81055,                0.99426,              0.0019142,              0.0019142,              0.0019142
