                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2647,                0.67596,                 1.1122,                0.89582,                0.77147,                0.83287,                0.51391,                 1.6238,                0.91723,                 1.0702,             0.00065753,             0.00065753,             0.00065753
                      2,                0.91404,                0.44271,                0.96228,                0.93034,                0.80611,                0.86595,                0.53726,                 1.5345,                0.79106,                 1.0506,              0.0013176,              0.0013176,              0.0013176
                      3,                0.89562,                 0.4252,                0.95413,                0.91651,                0.81077,                0.87306,                0.55234,                 1.5023,                0.95859,                  1.032,              0.0019712,              0.0019712,              0.0019712
                      4,                0.89462,                0.41623,                0.94868,                0.95497,                0.80098,                0.88671,                0.57808,                 1.4792,                0.81441,                 1.0347,              0.0019703,              0.0019703,              0.0019703
                      5,                0.88541,                0.42051,                  0.945,                 0.9323,                0.80587,                0.86917,                0.56247,                 1.4364,                0.86544,                 1.0048,              0.0019703,              0.0019703,              0.0019703
                      6,                0.87845,                  0.411,                0.94348,                0.91818,                0.81077,                0.87942,                0.57223,                 1.4146,                0.87248,                 1.0088,              0.0019604,              0.0019604,              0.0019604
                      7,                0.86099,                 0.4057,                0.93093,                0.89364,                0.83608,                 0.8881,                0.57848,                 1.3686,                0.71321,                 1.0131,              0.0019505,              0.0019505,              0.0019505
                      8,                0.86567,                0.39568,                 0.9353,                 0.9357,                0.81729,                0.90017,                0.58991,                 1.3841,                0.75636,                 1.0271,              0.0019406,              0.0019406,              0.0019406
                      9,                0.85781,                0.39231,                0.94141,                0.94446,                0.82055,                0.90041,                0.59555,                 1.3416,                0.75565,                0.98888,              0.0019307,              0.0019307,              0.0019307
                     10,                0.85249,                0.39673,                0.92599,                0.93798,                0.80261,                0.88793,                0.59619,                 1.3401,                0.76885,                0.97544,              0.0019208,              0.0019208,              0.0019208
                     11,                 0.8665,                0.39058,                0.93701,                0.87451,                0.84126,                0.89082,                0.59882,                 1.3403,                0.71895,                0.99706,              0.0019109,              0.0019109,              0.0019109
                     12,                0.85779,                0.39076,                 0.9345,                0.95378,                0.84339,                0.91394,                0.58852,                 1.3815,                0.69615,                0.99364,               0.001901,               0.001901,               0.001901
                     13,                0.84664,                0.39551,                0.92919,                0.92461,                0.84025,                0.91033,                0.60779,                 1.3152,                0.70555,                0.96624,              0.0018911,              0.0018911,              0.0018911
                     14,                0.84109,                 0.3896,                0.92717,                0.95135,                0.82935,                0.90901,                0.60656,                   1.31,                0.69167,                0.97912,              0.0018812,              0.0018812,              0.0018812
                     15,                0.86555,                0.39051,                0.93453,                0.94178,                0.82219,                 0.9144,                0.60329,                 1.3373,                0.68238,                0.98774,              0.0018713,              0.0018713,              0.0018713
                     16,                 0.8298,                0.38175,                0.92312,                0.91224,                0.84781,                0.90717,                0.60989,                 1.3084,                0.67722,                0.97083,              0.0018614,              0.0018614,              0.0018614
                     17,                0.83535,                0.38855,                 0.9287,                0.92311,                0.83361,                0.89401,                0.59979,                 1.3548,                0.71272,                0.98327,              0.0018515,              0.0018515,              0.0018515
                     18,                0.83479,                 0.3817,                0.93432,                0.87989,                0.84851,                0.90529,                0.59411,                 1.3216,                0.68752,                 1.0057,              0.0018416,              0.0018416,              0.0018416
                     19,                0.81224,                0.37023,                0.92336,                0.90907,                0.83176,                0.89927,                0.60014,                 1.3343,                0.71189,                0.99557,              0.0018317,              0.0018317,              0.0018317
                     20,                0.83695,                0.37806,                0.93084,                0.91046,                0.84502,                0.91186,                0.61159,                 1.2983,                0.71777,                0.98018,              0.0018218,              0.0018218,              0.0018218
                     21,                0.84364,                 0.3827,                0.92901,                0.93912,                0.82871,                 0.9015,                 0.5935,                 1.3261,                 0.6908,                0.99016,              0.0018119,              0.0018119,              0.0018119
                     22,                0.81916,                0.37089,                 0.9206,                0.94687,                0.84013,                0.90762,                0.61205,                 1.2873,                0.68898,                0.97878,               0.001802,               0.001802,               0.001802
                     23,                0.82766,                0.37294,                0.92243,                 0.9163,                0.84176,                0.90307,                0.61476,                 1.2774,                0.71677,                0.97254,              0.0017921,              0.0017921,              0.0017921
                     24,                0.81267,                0.36712,                0.92193,                0.91603,                0.84502,                0.91305,                0.60588,                 1.3189,                0.65932,                0.98483,              0.0017822,              0.0017822,              0.0017822
                     25,                0.82875,                0.37755,                0.92748,                0.92053,                 0.8385,                0.89925,                0.59733,                 1.3195,                0.75319,                0.99292,              0.0017723,              0.0017723,              0.0017723
                     26,                0.80891,                0.36804,                0.92067,                0.89332,                0.86056,                0.91488,                0.62358,                 1.2952,                0.73246,                0.98408,              0.0017624,              0.0017624,              0.0017624
                     27,                0.82639,                0.37469,                0.92562,                0.91601,                0.84339,                0.90859,                0.60905,                 1.2748,                0.74723,                0.96963,              0.0017525,              0.0017525,              0.0017525
                     28,                0.80825,                0.37515,                0.92181,                0.92889,                0.83113,                0.89698,                0.59128,                 1.3235,                0.72858,                0.99591,              0.0017426,              0.0017426,              0.0017426
                     29,                0.83651,                0.37499,                0.92076,                0.90452,                0.86623,                0.91422,                0.60432,                 1.3184,                0.68029,                0.98659,              0.0017327,              0.0017327,              0.0017327
                     30,                0.82545,                0.36772,                0.92009,                0.96085,                0.80078,                0.88928,                0.59458,                 1.3403,                0.68461,                0.99296,              0.0017228,              0.0017228,              0.0017228
                     31,                0.82892,                0.36952,                0.91863,                0.95865,                0.83205,                0.90865,                 0.6007,                 1.3177,                0.71319,                0.98508,              0.0017129,              0.0017129,              0.0017129
                     32,                0.82022,                 0.3678,                0.92335,                0.91828,                0.86158,                0.92239,                0.61211,                 1.2969,                0.66486,                0.97247,               0.001703,               0.001703,               0.001703
                     33,                0.80782,                0.36342,                0.90923,                0.90335,                0.85388,                0.91679,                0.61189,                 1.2921,                0.68045,                0.97621,              0.0016931,              0.0016931,              0.0016931
                     34,                0.80631,                0.36303,                0.91559,                0.90406,                0.83687,                0.90509,                0.60943,                 1.3074,                0.66458,                0.98367,              0.0016832,              0.0016832,              0.0016832
                     35,                0.81648,                0.35892,                0.92547,                0.95883,                0.81892,                0.91522,                0.61441,                 1.2813,                0.68592,                0.97733,              0.0016733,              0.0016733,              0.0016733
                     36,                0.80128,                0.35698,                0.91595,                0.87918,                0.87845,                0.91815,                0.62032,                 1.2466,                0.69819,                 0.9675,              0.0016634,              0.0016634,              0.0016634
                     37,                 0.8155,                0.36361,                0.92058,                0.87962,                0.85971,                0.91615,                0.61178,                 1.3205,                0.66779,                0.97826,              0.0016535,              0.0016535,              0.0016535
                     38,                 0.8223,                0.35967,                0.92139,                 0.9062,                0.85318,                0.91549,                0.61311,                 1.2637,                0.67167,                0.97128,              0.0016436,              0.0016436,              0.0016436
                     39,                 0.8142,                0.35965,                0.92384,                0.95653,                0.82554,                0.91696,                0.61118,                 1.2871,                0.65298,                0.98563,              0.0016337,              0.0016337,              0.0016337
                     40,                0.79635,                0.34893,                0.91798,                0.94158,                0.81512,                0.90556,                0.61052,                 1.3028,                0.65609,                0.99083,              0.0016238,              0.0016238,              0.0016238
                     41,                0.80665,                0.35555,                0.91523,                0.89798,                 0.8385,                0.91117,                0.62367,                 1.2775,                0.71233,                0.97321,              0.0016139,              0.0016139,              0.0016139
                     42,                0.80492,                0.35502,                0.91977,                 0.8974,                0.84187,                0.90955,                 0.6097,                 1.2825,                0.68218,                0.99028,               0.001604,               0.001604,               0.001604
                     43,                0.81135,                0.35019,                0.91976,                0.92831,                 0.8238,                0.89921,                0.60367,                 1.3054,                0.72753,                0.98465,              0.0015941,              0.0015941,              0.0015941
